"","Job.Title","Job.Type","Salary.Estimate","Salary.Mean","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors"
"245","Data Scientist","Data Scientist","90-124 ",107,3.7,"XPO Logistics","Lebanon, IN","Greenwich, CT","10000+","2011","Company - Public","Transportation Management","Transportation & Logistics","10+ billion","DHL Supply Chain, UPS, FedEx"
"246","Data Scientist","Data Scientist","90-124 ",107,3.9,"Trace Data","Oakland, CA","Santa Ana, CA","51 to 200","2000","Company - Private","Insurance Carriers","Insurance","10 to 25 million","Unknown"
"247","Data Scientist","Data Scientist","90-124 ",107,4.3,"Descript","San Francisco, CA","Houston, TX","1 to 50","Unknown","Company - Private","Unknown","Unknown","Less than 1 million","Unknown"
"248","Computer Scientist 1","Other","90-124 ",107,4.2,"Rincon Research Corporation","Melbourne, FL","Tucson, AZ","201 to 500","1983","Company - Private","Aerospace & Defense","Aerospace & Defense","50 to 100 million","Raytheon Technologies, General Dynamics, MIT Lincoln Laboratory"
"249","Lead Data Scientist","Data Scientist","90-124 ",107,3.7,"MassMutual","Boston, MA","Springfield, MA","5001 to 10000","1851","Company - Private","Insurance Carriers","Insurance","10+ billion","Unknown"
"250","Data Scientist","Data Scientist","90-124 ",107,4,"Better Hire","Birmingham, AL","Birmingham, AL","1 to 50","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"251","Data Scientist","Data Scientist","90-124 ",107,3.3,"Parker Hannifin","Cleveland, OH","Cleveland, OH","10000+","1917","Company - Public","Industrial Manufacturing","Manufacturing","10+ billion","Eaton, SMC Corporation, Bosch Rexroth"
"252","Data Scientist","Data Scientist","90-124 ",107,4.1,"Gallup","New York, NY","Washington, DC","1001 to 5000","1935","Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Advisory Board, Booz Allen Hamilton, McKinsey & Company"
"253","Data Scientist","Data Scientist","90-124 ",107,3.3,"Insider Inc","New York, NY","New York, NY","201 to 500","2007","Company - Private","News Outlet","Media","50 to 100 million","Unknown"
"254","Data Scientist","Data Scientist","90-124 ",107,3.9,"Rapid Value Solutions","San Francisco, CA","Pleasanton, CA","201 to 500","2009","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"255","Environmental Data Science","Other","90-124 ",107,3.1,"Battelle","Norwell, MA","Columbus, OH","10000+","1929","Nonprofit Organization","Research & Development","Business Services","5 to 10 billion","Unknown"
"256","Computational Behavioral Scientist","Other","90-124 ",107,4.2,"Ntrepid","Herndon, VA","Herndon, VA","201 to 500","2010","Company - Private","IT Services","Information Technology","50 to 100 million","Bromium, FireEye, Authentic8"
"257","Data Scientist","Data Scientist","90-124 ",107,5,"The Drive Media, Inc.","New York, NY","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"258","Staff BI and Data Engineer","Data Engineer","90-124 ",107,2.9,"Affinity Solutions","San Jose, CA","New York, NY","51 to 200","1998","Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Commerce Signals, Cardlytics, Yodlee"
"259","Principal Machine Learning Scientist","Machine Learning Engineer","90-124 ",107,4.7,"Sage Intacct","San Francisco, CA","San Jose, CA","501 to 1000","1999","Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"260","Principal Data Scientist - Machine Learning","Data Scientist","90-124 ",107,3.6,"Constant Contact","Waltham, MA","Waltham, MA","Unknown","1995","Subsidiary or Business Segment","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Drip, iContact, Mailchimp"
"261","Data Scientist-Human Resources","Data Scientist","91-150 ",120.5,3.8,"MIT Lincoln Laboratory","Lexington, MA","Lexington, MA","1001 to 5000","1951","Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","Unknown"
"262","Associate Data Scientist","Data Scientist","91-150 ",120.5,3.3,"Puget Sound Energy","Bothell, WA","Bellevue, WA","1001 to 5000","1999","Company - Private","Utilities","Oil, Gas, Energy & Utilities","2 to 5 billion","Unknown"
"263","Data Scientist - Statistics, Mid-Career","Data Scientist","91-150 ",120.5,3.7,"Pacific Northwest National Laboratory","Richland, WA","Richland, WA","1001 to 5000","1965","Government","Energy","Oil, Gas, Energy & Utilities","500 million to 1 billion","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
"264","Director of Data Science","Other","91-150 ",120.5,3.8,"Analysis Group","Boston, MA","Boston, MA","1001 to 5000","1981","Private Practice / Firm","Consulting","Business Services","100 to 500 million","Unknown"
"265","Data Scientist","Data Scientist","91-150 ",120.5,3.2,"US Pharmacopeia","Rockville, MD","Rockville, MD","1001 to 5000","1820","Nonprofit Organization","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Unknown"
"266","Data Scientist","Data Scientist","91-150 ",120.5,4.6,"Itlize Global","Piscataway, NJ","Piscataway, NJ","201 to 500","2010","Company - Private","IT Services","Information Technology","10 to 25 million","Unknown"
"267","Data Scientist","Data Scientist","91-150 ",120.5,3.5,"eBay","San Jose, CA","San Jose, CA","10000+","1995","Company - Public","Internet","Information Technology","10+ billion","Amazon, Apple"
"268","Data Engineer, Digital & Comp Pathology","Data Engineer","91-150 ",120.5,5,"Paige","New York, NY","New York, NY","1 to 50","2018","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"269","Data Engineer","Data Engineer","91-150 ",120.5,4.1,"Shape Security","Santa Clara, CA","Mountain View, CA","51 to 200","2011","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"270","Manager / Lead, Data Science & Analytics","Other","91-150 ",120.5,4.1,"ABIOMED","Danvers, MA","Danvers, MA","1001 to 5000","1981","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Covidien, Boston Scientific"
"271","Data Scientist","Data Scientist","91-150 ",120.5,3.5,"Comcast","New York, NY","Philadelphia, PA","10000+","1963","Company - Public","Unknown","Unknown","10+ billion","AT&T, Verizon"
"272","Data Scientist","Data Scientist","91-150 ",120.5,3.2,"Metronome, LLC","Vienna, VA","Fairfax, VA","51 to 200","2011","Company - Private","IT Services","Information Technology","10 to 25 million","Unknown"
"273","Data Scientist","Data Scientist","91-150 ",120.5,5,"SkillSoniq","San Francisco, CA","Jersey City, NJ","Unknown","Unknown","Company - Public","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"274","Data Scientist","Data Scientist","91-150 ",120.5,4.7,"Lawrence Livermore National Lab","Livermore, CA","Livermore, CA","1001 to 5000","1952","Government","Federal Agencies","Government","1 to 2 billion","Los Alamos National Laboratory, NASA Jet Propulsion Laboratory, Sandia National Laboratories"
"275","Diversity and Inclusion Data Analyst","Data Analyst","91-150 ",120.5,3.8,"FHLBank Pittsburgh","Pittsburgh, PA","Pittsburgh, PA","201 to 500","1932","Company - Private","Banks & Credit Unions","Finance","1 to 2 billion","Unknown"
"276","Data Scientist","Data Scientist","91-150 ",120.5,3.6,"Jacobs","Herndon, VA","Dallas, TX","10000+","1947","Company - Public","Architectural & Engineering Services","Business Services","10+ billion","Fluor, Bechtel, AECOM"
"277","Data Scientist","Data Scientist","91-150 ",120.5,4.8,"Klaviyo","Boston, MA","Boston, MA","201 to 500","2012","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"278","Data Scientist","Data Scientist","91-150 ",120.5,3.3,"Underwriters Laboratories","Northbrook, IL","Northbrook, IL","10000+","1894","Company - Private","Consulting","Business Services","2 to 5 billion","Intertek, SGS, Bureau Veritas"
"279","Data Scientist","Data Scientist","91-150 ",120.5,3.7,"Altus Group","Irvine, CA","Toronto, Canada","1001 to 5000","2005","Company - Public","Real Estate","Real Estate","100 to 500 million","Unknown"
"280","Data Scientist","Data Scientist","91-150 ",120.5,5,"Jobot","Irvine, CA","Irvine, CA","51 to 200","2018","Company - Private","Staffing & Outsourcing","Business Services","25 to 50 million","Unknown"
"281","Data Scientist","Data Scientist","91-150 ",120.5,4.3,"Trovetechs Inc","San Francisco, CA","Hillsborough, NJ","Unknown","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"282","Senior Analyst/Data Scientist","Data Scientist","141-225 ",183,3.4,"Edmunds.com","Santa Monica, CA","Santa Monica, CA","501 to 1000","1966","Company - Private","Internet","Information Technology","100 to 500 million","TrueCar, Cars.com, Kelley Blue Book"
"283","Data Scientist","Data Scientist","141-225 ",183,5,"Cohere Health","Boston, MA","Boston, MA","1 to 50","2019","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"284","Data Scientist","Data Scientist","141-225 ",183,4.3,"Trovetechs Inc","San Francisco, CA","Hillsborough, NJ","Unknown","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"285","Senior Data Scientist - R&D Oncology","Data Scientist","141-225 ",183,4,"AstraZeneca","New York, NY","Cambridge, United Kingdom","10000+","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Roche, GlaxoSmithKline, Novartis"
"286","Data Scientist","Data Scientist","141-225 ",183,4.2,"Oshkosh Corporation","Oshkosh, WI","Oshkosh, WI","10000+","1917","Company - Public","Transportation Equipment Manufacturing","Manufacturing","5 to 10 billion","Lockheed Martin, Caterpillar, John Deere"
"287","Data Scientist","Data Scientist","141-225 ",183,4.3,"Joby Aviation","San Carlos, CA","Santa Cruz, CA","51 to 200","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"288","Data Scientist","Data Scientist","141-225 ",183,3.4,"Mackin","Menlo Park, CA","Pittsburgh, PA","51 to 200","1960","Company - Private","Architectural & Engineering Services","Business Services","10 to 25 million","Unknown"
"289","Data Scientist","Data Scientist","141-225 ",183,4.3,"PETADATA","San Francisco, CA","Fremont, CA","51 to 200","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"290","Data Scientist","Data Scientist","141-225 ",183,4.4,"VBeyond Corporation","Dallas, TX","Hillsborough, NJ","201 to 500","2006","Company - Private","Staffing & Outsourcing","Business Services","5 to 10 million","Unknown"
"291","Data Scientist Machine Learning","Data Scientist","141-225 ",183,3.5,"Leidos","Arlington, VA","Reston, VA","10000+","1969","Company - Public","Aerospace & Defense","Aerospace & Defense","10+ billion","Unknown"
"292","Data Scientist","Data Scientist","141-225 ",183,3.7,"Take-Two","San Francisco, CA","New York, NY","1001 to 5000","1993","Company - Public","Video Games","Media","1 to 2 billion","Activision Blizzard, Electronic Arts"
"293","Data Scientist","Data Scientist","141-225 ",183,3.7,"Colony Brands","Monroe, WI","Monroe, WI","501 to 1000","Unknown","Company - Private","Food & Beverage Stores","Retail","100 to 500 million","Unknown"
"294","Data Scientist","Data Scientist","141-225 ",183,4.1,"Capio Group","Sacramento, CA","Goteborg, Sweden","10000+","Unknown","Hospital","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Unknown"
"295","Data Scientist","Data Scientist","141-225 ",183,3.4,"SleePare","New York, NY","New York, NY","1 to 50","2017","Company - Private","Other Retail Stores","Retail","Unknown / Non-Applicable","Unknown"
"296","Data Analyst","Data Analyst","141-225 ",183,4.5,"ShorePoint","Reston, VA","Washington, DC","1 to 50","2017","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"297","Data Scientist","Data Scientist","141-225 ",183,3.5,"Dolphin","New York, NY","Lake Buena Vista, FL","1001 to 5000","1990","Company - Private","Hotels, Motels, & Resorts","Travel & Tourism","Unknown / Non-Applicable","Unknown"
"298","Data Scientist","Data Scientist","141-225 ",183,3.6,"TE Connectivity","Hampton, VA","Schaffhausen, Switzerland","10000+","2007","Company - Public","Electrical & Electronic Manufacturing","Manufacturing","10+ billion","Unknown"
"299","Data Scientist","Data Scientist","141-225 ",183,3.2,"State of Virginia","Richmond, VA","Richmond, VA","10000+","1788","Government","State & Regional Agencies","Government","10+ billion","Unknown"
"300","Data Scientist","Data Scientist","141-225 ",183,3.7,"TA Digital","New York, NY","Newark, CA","501 to 1000","2000","Company - Private","Computer Hardware & Software","Information Technology","25 to 50 million","Unknown"
"301","Data Scientist","Data Scientist","141-225 ",183,4,"Market America Inc","Monterey, CA","Greensboro, NC","501 to 1000","1992","Company - Private","Other Retail Stores","Retail","100 to 500 million","Unknown"
"302","Data Scientist","Data Scientist","145-225",185,3.2,"Triplebyte","Chicago, IL","San Francisco, CA","51 to 200","2015","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"303","Data Scientist","Data Scientist","145-225",185,4.5,"Kingfisher Systems","McLean, VA","Falls Church, VA","51 to 200","2005","Company - Private","Federal Agencies","Government","25 to 50 million","Unknown"
"304","Chief Scientist","Other","145-225",185,3.4,"TrueAccord","Remote","San Francisco, CA","51 to 200","2013","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"305","Data Scientist","Data Scientist","145-225",185,3.9,"ALTA IT Services","Woodlawn, MD","Rockville, MD","201 to 500","2004","Company - Private","IT Services","Information Technology","10 to 25 million","Unknown"
"306","Data Scientist","Data Scientist","145-225",185,3.2,"Kollasoft Inc.","United States","Scottsdale, AZ","1 to 50","Unknown","Company - Private","IT Services","Information Technology","1 to 5 million","Unknown"
"307","Data Scientist","Data Scientist","145-225",185,5,"Kollasoft Inc.","New York, NY","Irving, TX","Unknown","Unknown","Company - Public","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"308","Data Scientist","Data Scientist","145-225",185,3.4,"ASRC Federal Holding Company","Reston, VA","Beltsville, MD","5001 to 10000","2003","Company - Private","Aerospace & Defense","Aerospace & Defense","500 million to 1 billion","Unknown"
"309","Data Scientist","Data Scientist","145-225",185,4.4,"Adwait Algorithm","New York, NY","Houston, TX","51 to 200","2015","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"310","Health Plan Data Analyst, Sr","Data Analyst","145-225",185,3.8,"Cook Children's Health Care System","Fort Worth, TX","Fort Worth, TX","5001 to 10000","1918","Nonprofit Organization","Health Care Services & Hospitals","Health Care","100 to 500 million","Children's Health, Texas Health Resources, Baylor Scott & White Health"
"311","Principal Scientist/Associate Director, Quality Control and Analytical Technologies","Other","145-225",185,3.8,"Rubius Therapeutics","Smithfield, RI","Cambridge, MA","201 to 500","2013","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million","Unknown"
"312","Data Scientist","Data Scientist","145-225",185,3.5,"Cambridge FX","Atlanta, GA","Toronto, Canada","201 to 500","1992","Company - Public","Financial Transaction Processing","Finance","100 to 500 million","Unknown"
"313","Senior Data Scientist","Data Scientist","145-225",185,3.8,"Metromile","San Francisco, CA","San Francisco, CA","201 to 500","2011","Company - Private","Insurance Carriers","Insurance","Unknown / Non-Applicable","Unknown"
"314","Data Scientist","Data Scientist","145-225",185,3.9,"Criteo","Ann Arbor, MI","Paris, France","1001 to 5000","2005","Company - Public","Internet","Information Technology","2 to 5 billion","MediaMath, Conversant, AppNexus"
"315","Data Scientist","Data Scientist","145-225",185,3.4,"Advance Sourcing Concepts","Pittsburgh, PA","Pittsburgh, PA","51 to 200","Unknown","Company - Private","Unknown","Unknown","1 to 5 million","Unknown"
"316","Data Scientist","Data Scientist","145-225",185,3.8,"Enterprise Solutions Inc","New York, NY","Naperville, IL","51 to 200","2000","Company - Private","Staffing & Outsourcing","Business Services","25 to 50 million","Unknown"
"317","Analytics - Business Assurance Data Analyst","Data Analyst","145-225",185,4.6,"GreatAmerica Financial Services","Cedar Rapids, IA","Cedar Rapids, IA","501 to 1000","1992","Company - Private","Lending","Finance","100 to 500 million","Unknown"
"318","Data Scientist","Data Scientist","145-225",185,4,"Microagility","New York, NY","Princeton, NJ","1 to 50","Unknown","Company - Private","Consulting","Business Services","1 to 5 million","Unknown"
"319","Data Scientist","Data Scientist","145-225",185,4.6,"Conch Technologies, Inc","Concord, CA","Memphis, TN","51 to 200","Unknown","Company - Private","Consulting","Business Services","5 to 10 million","Unknown"
"320","Development Scientist, Voltaren","Other","145-225",185,3.9,"GSK","Richmond, VA","Brentford, United Kingdom","10000+","1830","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Pfizer, AstraZeneca, Merck"
"321","Data Scientist","Data Scientist","145-225",185,4.3,"Rainmaker Resources, LLC","Cincinnati, OH","Cincinnati, OH","1 to 50","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"322","Data Scientist","Data Scientist","79-147 ",113,3.7,"GovTech","San Francisco, CA","Singapore, Singapore","1001 to 5000","2016","Government","Federal Agencies","Government","Unknown / Non-Applicable","Unknown"
"323","Data Scientist","Data Scientist","79-147 ",113,3.3,"Intellectual Ventures","Bellevue, WA","Bellevue, WA","501 to 1000","2000","Company - Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable","Unknown"
"324","Data Engineer","Data Engineer","79-147 ",113,4.4,"Rocket Lawyer","San Francisco, CA","San Francisco, CA","51 to 200","2008","Company - Private","Computer Hardware & Software","Information Technology","50 to 100 million","Unknown"
"325","Data Scientist","Data Scientist","79-147 ",113,3.7,"22nd Century Technologies","Oakland, CA","Somerset, NJ","1001 to 5000","1997","Company - Private","IT Services","Information Technology","25 to 50 million","Unknown"
"326","Data Scientist","Data Scientist","79-147 ",113,3.3,"Huxley","San Francisco, CA","London, United Kingdom","201 to 500","1995","Company - Private","Staffing & Outsourcing","Business Services","25 to 50 million","Unknown"
"327","Data Scientist","Data Scientist","79-147 ",113,3.4,"FM Systems","Boston, MA","Raleigh, NC","51 to 200","1984","Company - Private","Computer Hardware & Software","Information Technology","5 to 10 million","Archibus, iOffice, Planon"
"328","Data Scientist","Data Scientist","79-147 ",113,3.5,"B4Corp","Reston, VA","Leesburg, VA","51 to 200","Unknown","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"329","Machine Learning Engineer","Machine Learning Engineer","79-147 ",113,3.7,"Mteq","Fort Belvoir, VA","Lorton, VA","501 to 1000","1954","Company - Public","Aerospace & Defense","Aerospace & Defense","100 to 500 million","Harris, Fibertek"
"330","Principal Data & Analytics Platform Engineer","Other","79-147 ",113,3.7,"Blue Cross and Blue Shield of North Carolina","Durham, NC","Durham, NC","1001 to 5000","1933","Company - Private","Insurance Carriers","Insurance","5 to 10 billion","Unknown"
"331","Machine Learning Engineer/Scientist","Machine Learning Engineer","79-147 ",113,4.8,"Jane Street","New York, NY","New York, NY","501 to 1000","2000","Company - Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable","Unknown"
"332","Data Scientist","Data Scientist","79-147 ",113,5,"SSATI","McLean, VA","Annapolis Junction, MD","1 to 50","2003","Company - Private","Computer Hardware & Software","Information Technology","10 to 25 million","Unknown"
"333","Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab","Data Scientist","79-147 ",113,3.9,"Novartis","Cambridge, MA","Basel, Switzerland","10000+","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Unknown"
"334","Data Scientist","Data Scientist","79-147 ",113,3.4,"Solving IT International Inc","Chicago, IL","Chicago, IL","501 to 1000","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"335","Data Scientist","Data Scientist","79-147 ",113,3.3,"The Davey Tree Expert Company","Kent, OH","Kent, OH","10000+","1880","Self-employed","Timber Operations","Agriculture & Forestry","1 to 2 billion","ACRT Services, Bartlett Tree Experts"
"336","Data Scientist","Data Scientist","79-147 ",113,4.6,"Centauri","Reston, VA","Chantilly, VA","501 to 1000","1999","Company - Private","Aerospace & Defense","Aerospace & Defense","100 to 500 million","TASC, Vencore, Booz Allen Hamilton"
"337","Data Scientist","Data Scientist","79-147 ",113,4.1,"Stride Search","San Francisco, CA","Westlake Village, CA","1 to 50","Unknown","Company - Private","Unknown","Unknown","Less than 1 million","Unknown"
"338","Machine Learning Engineer","Machine Learning Engineer","79-147 ",113,2.6,"Software Engineering Institute","Pittsburgh, PA","Pittsburgh, PA","501 to 1000","1984","College / University","Colleges & Universities","Education","Unknown / Non-Applicable","Unknown"
"339","Data Analyst - Unilever Prestige","Data Analyst","79-147 ",113,3.8,"Dermalogica","Carson, CA","Carson, CA","201 to 500","1986","Subsidiary or Business Segment","Consumer Products Manufacturing","Manufacturing","100 to 500 million","IMAGE Skincare, Aveda, Kiehl's"
"340","Data Scientist","Data Scientist","79-147 ",113,4.8,"TechProjects","New York, NY","North Brunswick, NJ","1 to 50","2011","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"341","VP, Data Science","Other","79-147 ",113,3.9,"7Park Data","New York, NY","New York, NY","51 to 200","2012","Company - Private","Research & Development","Business Services","Unknown / Non-Applicable","Unknown"
"342","Data Scientist","Data Scientist","122-146 ",134,4,"Netskope","Santa Clara, CA","Santa Clara, CA","501 to 1000","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Skyhigh Networks, Zscaler, NortonLifeLock"
"343","Data Scientist","Data Scientist","122-146 ",134,4.2,"Eversight","Palo Alto, CA","Palo Alto, CA","51 to 200","2013","Company - Private","Enterprise Software & Network Solutions","Information Technology","10 to 25 million","Unknown"
"344","Senior Business Intelligence Analyst","Business Intelligence Analyst","122-146 ",134,3.7,"Protolabs","Maple Plain, MN","Maple Plain, MN","1001 to 5000","1999","Company - Public","Miscellaneous Manufacturing","Manufacturing","100 to 500 million","Unknown"
"345","Data Scientist","Data Scientist","122-146 ",134,3,"Ameritas Life Insurance Corp","Cincinnati, OH","Lincoln, NE","1001 to 5000","1887","Company - Private","Insurance Agencies & Brokerages","Insurance","2 to 5 billion","Unknown"
"346","Data Engineer - Kafka","Data Engineer","122-146 ",134,3.5,"Western Digital","San Jose, CA","San Jose, CA","10000+","1970","Company - Public","Computer Hardware & Software","Information Technology","10+ billion","Seagate Technology, Toshiba"
"347","Data Scientist","Data Scientist","122-146 ",134,2.9,"Shimento, Inc.","Santa Clara, CA","Benicia, CA","1 to 50","Unknown","Company - Private","Unknown","Unknown","1 to 5 million","Unknown"
"348","Data Scientist","Data Scientist","122-146 ",134,5,"Averity","New York, NY","New York, NY","1 to 50","2014","Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","Unknown"
"349","Data Scientist","Data Scientist","122-146 ",134,4.7,"Praxis Engineering","Chantilly, VA","Annapolis Junction, MD","201 to 500","2002","Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","100 to 500 million","Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton"
"350","Decision Scientist","Other","122-146 ",134,4.5,"Johns Hopkins University Applied Physics Laboratory","Laurel, MD","Laurel, MD","5001 to 10000","1942","Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","1 to 2 billion","MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman"
"351","Data Scientist","Data Scientist","122-146 ",134,4.9,"Cambridge Mobile Telematics","Cambridge, MA","Cambridge, MA","1 to 50","2010","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"352","Data Science All Star Program - Data Engineer Track","Data Engineer","122-146 ",134,4.6,"Blend360","Columbia, MD","Columbia, MD","51 to 200","2002","Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Unknown"
"353","Data Scientist - TS/SCI FSP or CI Required","Data Scientist","122-146 ",134,5,"Phoenix Operations Group","Annapolis Junction, MD","Woodbine, MD","1 to 50","2011","Company - Private","IT Services","Information Technology","1 to 5 million","Unknown"
"354","Data Analyst","Data Analyst","122-146 ",134,3.9,"Nolij Consulting","Falls Church, VA","Vienna, VA","51 to 200","2012","Company - Public","Consulting","Business Services","1 to 5 million","Unknown"
"355","Senior Data Scientist","Data Scientist","122-146 ",134,3.5,"Maxar Technologies","Herndon, VA","Westminster, CO","5001 to 10000","Unknown","Company - Public","Aerospace & Defense","Aerospace & Defense","2 to 5 billion","Unknown"
"356","Data Scientist","Data Scientist","112-116 ",114,4.3,"Quick Base","Cambridge, MA","Cambridge, MA","201 to 500","1999","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"357","Data Scientist","Data Scientist","112-116 ",114,3.7,"Takeda","Cambridge, MA","OSAKA, Japan","10000+","1781","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Novartis, Baxter, Pfizer"
"358","Data Scientist","Data Scientist","112-116 ",114,3.5,"Maxar Technologies","Herndon, VA","Westminster, CO","5001 to 10000","Unknown","Company - Public","Aerospace & Defense","Aerospace & Defense","2 to 5 billion","Unknown"
"359","ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR","Other","112-116 ",114,3.9,"Southwest Research Institute","Oklahoma City, OK","San Antonio, TX","1001 to 5000","1947","Nonprofit Organization","Research & Development","Business Services","500 million to 1 billion","Los Alamos National Laboratory, Battelle, SRI International"
"360","Data Scientist","Data Scientist","112-116 ",114,4.7,"Compass Consulting Group","Thousand Oaks, CA","Danville, CA","51 to 200","2008","Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Unknown"
"361","Data Science Software Engineer","Other","112-116 ",114,4.8,"Klaviyo","Boston, MA","Boston, MA","201 to 500","2012","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"362","AI Ops Data Scientist","Data Scientist","112-116 ",114,4,"AstraZeneca","Gaithersburg, MD","Cambridge, United Kingdom","10000+","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Roche, GlaxoSmithKline, Novartis"
"363","Data Scientist","Data Scientist","112-116 ",114,4.4,"SolutionIT, Inc.","Edison, NJ","Wilmington, MA","51 to 200","Unknown","Company - Private","Unknown","Unknown","Unknown / Non-Applicable","Unknown"
"364","Data Scientist","Data Scientist","112-116 ",114,3.2,"Perspecta","Adelphi, MD","Chantilly, VA","10000+","2018","Company - Public","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","Unknown"
"365","Data Scientist","Data Scientist","112-116 ",114,4.5,"Smith Hanley Associates","Washington, DC","New York, 061","1 to 50","1980","Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","Kforce, PageGroup, Robert Half"
"366","Scientist - Machine Learning","Machine Learning Engineer","112-116 ",114,3.5,"Allen Institute","Seattle, WA","Seattle, WA","201 to 500","2003","Nonprofit Organization","Research & Development","Business Services","100 to 500 million","Unknown"
"367","Data Scientist","Data Scientist","112-116 ",114,4.4,"Eliassen Group","Plano, TX","Reading, MA","1001 to 5000","1989","Company - Private","Staffing & Outsourcing","Business Services","100 to 500 million","TEKsystems, Kforce, Randstad US"
"368","Data Scientist","Data Scientist","112-116 ",114,3.1,"Bayside Solutions","Sunnyvale, CA","Pleasanton, CA","1 to 50","2001","Company - Private","Staffing & Outsourcing","Business Services","1 to 5 million","Unknown"
"369","Sr. Data Scientist","Data Scientist","112-116 ",114,3.5,"Evolve Vacation Rental","Denver, CO","Denver, CO","201 to 500","2011","Company - Private","Travel Agencies","Travel & Tourism","Unknown / Non-Applicable","Unknown"
"370","Data Scientist","Data Scientist","112-116 ",114,3.8,"AgreeYa Solutions","Thousand Oaks, CA","Folsom, CA","1001 to 5000","1999","Company - Private","IT Services","Information Technology","50 to 100 million","Unknown"
"371","Data Scientist","Data Scientist","112-116 ",114,3.7,"Carolina Power & Light Co","McLean, VA","Raleigh, NC","5001 to 10000","1908","Subsidiary or Business Segment","Energy","Oil, Gas, Energy & Utilities","Unknown / Non-Applicable","South Carolina Electric & Gas, Virginia Electric and Power"
